security_id,cusip,sedol,isin,ric,bloomberg,bbg,symbol,root_symbol,bb_yellow,spn
BBG0183JRTM9,,,,,70046372,BBG0183JRTM9,FITF24,,FITF24 Comdty,79004410
BBG0183JRYG5,,,,,70046368,BBG0183JRYG5,FIIM23,,FIIM23 Comdty,79003735
BBG0183JRX40,,,,,70046375,BBG0183JRX40,FKIN23,,FKIN23 Comdty,79003900
BBG0183JRQ09,,,,,70046364,BBG0183JRQ09,FAOU25,,FAOU25 Comdty,79004200
BBG0182JZCP5,,,,,70046366,BBG0182JZCP5,FEYN23,,FEYN23 Comdty,79003280
BBG0183JSF93,,,,,70046394,BBG0183JSF93,HPIJ23,,HPIJ23 Comdty,79003637
BBG0183JSC81,,,,,70046392,BBG0183JSC81,HOEF23,,HOEF23 Comdty,79004211
BBG0183JRTV9,,,,,70046372,BBG0183JRTV9,FITQ24,,FITQ24 Comdty,79004145
BBG0183JRP74,,,,,70046364,BBG0183JRP74,FAOU23,,FAOU23 Comdty,79004328
BBG0183JRXL1,,,,,70046375,BBG0183JRXL1,FKIU24,,FKIU24 Comdty,79004217
BBG0183JS1X7,,,,,70046377,BBG0183JS1X7,FODK25,,FODK25 Comdty,79004451
BBG0183JSDN2,,,,,70046393,BBG0183JSDN2,HOSG24,,HOSG24 Comdty,79004271
BBG0183JSH80,,,,,70046396,BBG0183JSH80,HPYK23,,HPYK23 Comdty,79003869
BBG0183JS764,,,,,70486975,BBG0183JS764,HRON23,,HRON23 Comdty,79004322
BBG0183JRVH0,,,,,70046365,BBG0183JRVH0,FDRV22,,FDRV22 Comdty,79004319
BBG000QSC773,G1554N100,B41FKZ6,GB0000600931,BSEAF.PK,310066,BBG000QSC773,BSEAF US,BSEAF,BSEAF US Equity,77983961
BBG000G1JLY5,J94062106,B1T7Z14,JP3159910003,ULPRF.PK,10437633,BBG000G1JLY5,ULPRF US,ULPRF,ULPRF US Equity,77984250
BBG000CVL085,425883105,B2411X2,US4258831050,HNNMY.PK,117601,BBG000CVL085,HNNMY US,HNNMY,HNNMY US Equity,77998912
BBG00L33D0T7,89487B100,BMYFT18,US89487B1008,TREN.PK,60642382,BBG00L33D0T7,TREN US,TREN,TREN US Equity,77982244
BBG00B0M9VG1,12571C107,BD95WC2,US12571C1071,CNGKY.PK,43960888,BBG00B0M9VG1,CNGKY US,CNGKY,CNGKY US Equity,77985948
BBG012G0LSK9,517834107,BNLXP81,US5178341070,LVS.LM,9163439,BBG012G0LSK9,LVS PE,LVS,LVS PE Equity,78330856
BBG00361J3G0,81372K105,B9HK7V5,US81372K1051,SFIV.PK^H22,31985929,BBG00361J3G0,SFIV US,SFIV,SFIV US Equity,78009469
BBG00JMZYJX1,Y3122R100,BFCCQS8,CNE100000WB7,300137.ZK,20690841,BBG00JMZYJX1,300137 C2,300137,300137 C2 Equity,77959296
BBG009K9LNJ4,Y988EW103,BYWJGH1,CNE100002WW9,603316.SS,46377258,BBG009K9LNJ4,603316 CH,603316,603316 CH Equity,77961184
BBG00CCNMHG0,,,,,,BBG00CCNMHG0,OOCG3H3,,OOCG3H3 Comdty,78677739
BBG01918NGH1,,,,,,BBG01918NGH1,OOCG3H5,,OOCG3H5 Comdty,79076585
BBG00GY21PJ5,,,,,,BBG00GY21PJ5,OOCG4H4,,OOCG4H4 Comdty,78680554
BBG018QVF2X7,,,,,,BBG018QVF2X7,OGEQ3F5,,OGEQ3F5 Comdty,79046889
BBG018QVF2G6,,,,,,BBG018QVF2G6,OGEF3F5,,OGEF3F5 Comdty,79046869
BBG01918NGS9,,,,,,BBG01918NGS9,OOCX3H5,,OOCX3H5 Comdty,79076623
BBG018W8G233,,,,,,BBG018W8G233,I:001CYZ,,I:001CYZ Comdty,79052244
BBG017WM37B8,,,,,,BBG017WM37B8,I:001B19,,I:001B19 Comdty,78991169
BBG00F137KY9,Y2574G109,BD5LY95,CNE100000HT0,002315.ZK,16820561,BBG00F137KY9,002315 C2,002315,002315 C2 Equity,77980272
BBG000RQH673,X9802C108,B1ZBZV0,RU000A0HML36,VTGKI.RTS,10602851,BBG000RQH673,VTGK RU,VTGK,VTGK RU Equity,78054111
BBG018W5CLH6,,,,,14509877,BBG018W5CLH6,FXGL=SP U22V22,,FXGL=SP U22V22 GR Equity,79100189
BBG0191KWPN7,Y7026E115,BP4DPQ0,ID3000060508,PANIc_r.JK^H22,61700964,BBG0191KWPN7,PANI/R IJ,PANI-R,PANI/R IJ Equity,79077353
BBG0191P4FH6,,BP4VYK1,ZAE000312088,ASCNm.J^H22,28244853,BBG0191P4FH6,ASCN SJ,ASCN,ASCN SJ Equity,79077534
BBG001PH19Z3,Q7129H105,B9M3LV7,AU000000ORR2,ORR.AX,25250855,BBG001PH19Z3,ORR AU,ORR,ORR AU Equity,77938291
BBG000BXB305,Q5458K103,B9414V0,AU000000LNY3,LNY.AX,112866,BBG000BXB305,LNY AU,LNY,LNY AU Equity,77944611
BBG000KP57C7,58470Q101,B18YTQ9,CA58470Q1019,MFSh.V^H22,10561009,BBG000KP57C7,MFS/H CN,MFS.H,MFS/H CN Equity,78000255
BBG002VS7JW5,G40769104,B6W47S8,KYG407691040,GRVWF.PK,22158475,BBG002VS7JW5,GRVWF US,GRVWF,GRVWF US Equity,77990654
BBG018T8YMJ6,,,SGXDB0951440,ZHPCsiV2,169137,BBG018T8YMJ6,ZHPC=V2,,ZHPC=V2 SP Equity,79046765
BBG018LWTRB4,,,,HDFAU2:NS,1711346,BBG018LWTRB4,HAMC=U2,HAMC=,HAMC=U2 IS Equity,79037448
BBG018LWTS68,,,,DALBU2:NS,47206380,BBG018LWTS68,DALBH=U2,DALBH=,DALBH=U2 IS Equity,79037447
BBG018LWTS22,,,,ABOTU2:NS,169572,BBG018LWTS22,BOOT=U2,BOOT=,BOOT=U2 IS Equity,79037751
BBG018LWTS31,,,,CROPU2:NS,42928879,BBG018LWTS31,CROMP=U2,CROMP=,CROMP=U2 IS Equity,79037964
BBG018LWTSJ4,,,,WHIRU2:NS,183001,BBG018LWTSJ4,WHIRL=U2,WHIRL=,WHIRL=U2 IS Equity,79037872
BBG00LFZCFT1,Y2238N102,BFFK902,TW0006689003,6689.TWO,61134677,BBG00LFZCFT1,6689 TT,6689,6689 TT Equity,77960892
BBG00LFZCFT1,Y2238N102,BFFK902,TW0006689003,6689.TWO,61134677,BBG00LFZCFT1,6689 TT,6689,6689 TT Equity,77960892
BBG019BFYKH3,,,,,117902,BBG019BFYKH3,RCFF=SP U22V22,,RCFF=SP U22V22 GR Equity,79101460
BBG019BFY8S8,,,,,117593,BBG019BFY8S8,HLAF=SP U22V22,,HLAF=SP U22V22 GR Equity,79101496
BBG019BFY2G4,,,,,111435,BBG019BFY2G4,CRGG=SP U22V22,,CRGG=SP U22V22 GR Equity,79101530
BBG019BHR777,,,,,9016496,BBG019BHR777,2GEO=SP V22X22,,2GEO=SP V22X22 IM Equity,79101521
BBG019BFYPT9,,,,,25170192,BBG019BFYPT9,SREJ=SP U22V22,,SREJ=SP U22V22 GR Equity,79101564
BBG019BFXYD8,,,,,115239,BBG019BFXYD8,AXAG=SP U22V22,,AXAG=SP U22V22 GR Equity,79101728
BBG019BHR8N7,,,,,239983,BBG019BHR8N7,ERG=SP V22X22,,ERG=SP V22X22 IM Equity,79101741
BBG019BFY9X0,,,,,51522102,BBG019BFY9X0,IILG=SP U22V22,,IILG=SP U22V22 GR Equity,79101706
BBG019BFY880,,,,,156070,BBG019BFY880,GZFH=SP U22V22,,GZFH=SP U22V22 GR Equity,79101762
BBG019BFYKW6,,,,,115508,BBG019BFYKW6,RFXK=SP U22V22,,RFXK=SP U22V22 GR Equity,79101570
